colname	inferred_type	value	count	proportion
acne_medication	numeric	(0, 0.08, 2)	NA	standard deviation: 0.37
acne_medication_otc	numeric	(0, 0.14, 2)	NA	standard deviation: 0.43
alcohol_consumption	numeric	(0, 0.79, 2)	NA	standard deviation: 0.46
alcohol_types_beercider	numeric	(0, 0.33, 1)	NA	standard deviation: 0.47
alcohol_types_red_wine	numeric	(0, 0.41, 1)	NA	standard deviation: 0.49
alcohol_types_sour_beers	numeric	(0, 0.04, 1)	NA	standard deviation: 0.19
alcohol_types_spiritshard_alcohol	numeric	(0, 0.26, 1)	NA	standard deviation: 0.44
alcohol_types_white_wine	numeric	(0, 0.29, 1)	NA	standard deviation: 0.45
allergic_to_i_have_no_food_allergies_that_i_know_of	numeric	(0, 0.53, 1)	NA	standard deviation: 0.5
allergic_to_other	numeric	(0, 0.08, 1)	NA	standard deviation: 0.27
allergic_to_peanuts	numeric	(0, 0.01, 1)	NA	standard deviation: 0.12
allergic_to_shellfish	numeric	(0, 0.02, 1)	NA	standard deviation: 0.14
allergic_to_tree_nuts	numeric	(0, 0.01, 1)	NA	standard deviation: 0.12
appendix_removed	numeric	(0, 0.16, 2)	NA	standard deviation: 0.44
breastmilk_formula_ensure	numeric	(0, 0.54, 2)	NA	standard deviation: 0.88
cat	numeric	(0, 0.3, 2)	NA	standard deviation: 0.51
chickenpox	numeric	(0, 0.94, 2)	NA	standard deviation: 0.47
consume_animal_products_abx	numeric	(0, 1.32, 2)	NA	standard deviation: 0.78
csection	numeric	(0, 0.22, 2)	NA	standard deviation: 0.55
dog	numeric	(0, 0.35, 2)	NA	standard deviation: 0.52
lactose	numeric	(0, 0.25, 2)	NA	standard deviation: 0.52
livingwith	numeric	(0, 0.52, 2)	NA	standard deviation: 0.64
lowgrain_diet_type	numeric	(0, 1.37, 2)	NA	standard deviation: 0.86
mental_illness	numeric	(0, 1.04, 2)	NA	standard deviation: 0.96
mental_illness_type_anorexia_nervosa	numeric	(0, 0.96, 2)	NA	standard deviation: 1
mental_illness_type_bipolar_disorder	numeric	(0, 0.96, 2)	NA	standard deviation: 1
mental_illness_type_bulimia_nervosa	numeric	(0, 0.96, 2)	NA	standard deviation: 1
mental_illness_type_depression	numeric	(0, 1.02, 2)	NA	standard deviation: 0.97
mental_illness_type_ptsd_posttraumatic_stress_disorder	numeric	(0, 0.97, 2)	NA	standard deviation: 0.99
mental_illness_type_schizophrenia	numeric	(0, 0.96, 2)	NA	standard deviation: 1
mental_illness_type_substance_abuse	numeric	(0, 0.96, 2)	NA	standard deviation: 1
multivitamin	numeric	(0, 0.38, 2)	NA	standard deviation: 0.54
nail_biter	numeric	(0, 0.27, 2)	NA	standard deviation: 0.51
non_food_allergies_beestings	numeric	(0, 0.02, 1)	NA	standard deviation: 0.15
non_food_allergies_drug_eg_penicillin	numeric	(0, 0.12, 1)	NA	standard deviation: 0.32
non_food_allergies_pet_dander	numeric	(0, 0.09, 1)	NA	standard deviation: 0.29
non_food_allergies_poison_ivyoak	numeric	(0, 0.08, 1)	NA	standard deviation: 0.27
non_food_allergies_sun	numeric	(0, 0.02, 1)	NA	standard deviation: 0.13
other_supplement_frequency	numeric	(0, 0.56, 2)	NA	standard deviation: 0.56
pets_other	numeric	(0, 1.01, 2)	NA	standard deviation: 0.97
pregnant	numeric	(0, 0.38, 2)	NA	standard deviation: 0.78
roommates_in_study	numeric	(0, 0.75, 2)	NA	standard deviation: 0.89
seasonal_allergies	numeric	(0, 0.46, 2)	NA	standard deviation: 0.58
softener	numeric	(0, 0.4, 2)	NA	standard deviation: 0.56
specialized_diet_exclude_dairy	numeric	(0, 1.34, 2)	NA	standard deviation: 0.92
specialized_diet_exclude_nightshades	numeric	(0, 1.31, 2)	NA	standard deviation: 0.95
specialized_diet_exclude_refined_sugars	numeric	(0, 1.35, 2)	NA	standard deviation: 0.91
specialized_diet_fodmap	numeric	(0, 1.31, 2)	NA	standard deviation: 0.95
specialized_diet_halaal	numeric	(0, 1.31, 2)	NA	standard deviation: 0.95
specialized_diet_kosher	numeric	(0, 1.31, 2)	NA	standard deviation: 0.95
specialized_diet_modified_paleo_diet	numeric	(0, 1.33, 2)	NA	standard deviation: 0.93
